CODE;LIBELLE_CULTURE;CAMPAGNE_DEBUT;CAMPAGNE_FIN
BR;Bâtiments;2014;2014
EL;Eléments naturels non admissibles;2014;2014
NE;Surface agricole temporairement non exploitée;2014;2014
VF;Vanille verte;2014;2014
YY;Ylang-ylang;2014;2014
LQ;Nvelles surf. légumin. fourrag. (luz.;2010;2012
LR;Lupin doux semé tardivement (après le 31/05);2010;2014
MC;Maraîchage commercialisé (hors serres et tunnels fixes);2010;2010
MH;Moha;2010;2014
MN;Melon commercialisé;2010;2014
MR;Maraîchage (hors serres et tunnels fixes);2010;2010
NA;Navet commercialisé;2010;2014
NB;Navette commercialisée;2010;2014
NC;Noix commercialisées;2010;2014
NO;Noisettes commercialisées;2010;2014
NT;Navette;2010;2014
NV;Navet;2010;2014
OC;Oignon commercialisé;2010;2014
OE;Oeillette;2010;2014
OR;Poireau;2010;2014
OT;Oeillette commercialisée;2010;2014
OV;Oliveraie commercialisée;2010;2014
P1;Pommes de terre de consommation commercialisées;2010;2014
P2;Pommes de terre féculières commercialisées;2010;2014
P3;Plants de pomme de terre commercialisés;2010;2014
P4;Plantes à parfum;2010;2014
P5;Plantes à parfum;2010;2014
P6;Pistaches commercialisées;2010;2014
P7;Pois chiches commercialisés;2010;2014
P8;Pois d'hiver commercialisé;2010;2014
P9;Pois de printemps commercialisé;2010;2014
PB;Persil;2010;2014
PD;Poireau commercialisé;2010;2014
PJ;Petits pois commercialisés;2010;2014
PV;Plantes à parfum;2010;2014
PW;Plantes médicinales;2010;2014
PY;Persil commercialisé;2010;2014
R3;Semences de riz - grains longs commercialisés;2010;2011
R4;Semences de riz - grains courts commercialisés;2010;2011
RT;Riz semé tardivement (après le 30/06);2010;2011
SC;Salade commercialisée;2010;2014
SJ;Soja commercialisé;2010;2014
SL;Salade;2010;2014
TC;Tomates de consommation;2010;2011
TD;Tabac commercialisé;2010;2014
TI;Taillis courte rotation;2010;2014
TN;Tomates de consommation commercialisées;2010;2011
TS;Tournesol commercialisé;2010;2014
VC;Vergers commercialisés;2010;2014
VD;Vesces commercialisées;2010;2014
VG;Vignes;2010;2010
VN;Vignes commercialisées;2010;2010
A1;Autres protéagineux commercialisés;2010;2014
A2;Pois de printemps semé tardivement (après le 31/05);2010;2014
AA;Ail commercialisé;2010;2014
AD;Amandes commercialisées;2010;2014
AE;Autres oléagineux commercialisés;2010;2014
AH;Avoine hiver;2010;2014
AI;Ail;2010;2014
AP;Avoine printemps;2010;2014
AS;Autres semences de céréales commercialisées;2010;2014
BG;Blé dur printemps semé tardivement (après le 31/05);2010;2014
BI;Betterave non fourragère commercialisée;2010;2014
BT;Betterave non fourragère;2010;2014
C1;Châtaigneraie entretenue par des porcins (Corse);2010;2014
C2;Chênaie entretenue par des porcins (Corse);2010;2014
C3;Colza de printemps commercialisé;2010;2014
C4;Chanvre oléagineux commercialisé;2010;2011
C5;Chanvre sans contrat commercialisé;2010;2011
CB;Carotte commercialisée;2010;2014
CC;Chou;2010;2014
CD;Céleri commercialisé;2010;2014
CE;Chicorée commercialisée;2010;2014
CJ;Chou commercialisé;2010;2014
CK;Chicorée;2010;2014
CL;Céleri;2010;2014
CN;Caroubes commercialisées;2010;2014
CQ;Châtaignes commercialisées;2010;2014
CS;Colza d'hiver commercialisé;2010;2014
CT;Carotte;2010;2014
CY;Semences de chanvre commercialisées;2010;2011
DS;Fourrages déshydratés commercialisés;2010;2011
EC;Endive commercialisée;2010;2014
ET;Semences d'épeautre commercialisées;2010;2011
F1;Prairie permanente production foin commercialisé;2010;2014
F2;Prairie temporaire production foin commercialisé;2010;2014
F3;Prairie temporaire plus de 5 ans prod. foin commercialisé;2010;2014
FB;Fleurs annuelles;2010;2014
FC;Fleurs annuelles commercialisées;2010;2014
FD;Protéagineux fourragers commercialisés;2010;2014
FF;Féveroles commercialisées;2010;2014
FG;Autres fruits et légumes commercialisés;2010;2014
FH;Féveroles semées tardivemt (après le 31/05) commercialisées;2010;2014
FI;Fourrage annuel;2010;2014
FL;Féveroles;2010;2014
FM;Fèves commercialisées;2010;2014
FT;Féveroles semées tardivement (après le 31/05);2010;2014
FV;Fèves;2010;2014
GA;Gel annuel;2010;2014
GF;Gel fixe;2010;2014
GS;Gel spécifique (jachère faune sauvage;2010;2014
HA;Haricot;2010;2014
HB;Houblon commercialisé;2010;2014
HI;Haricot commercialisé;2010;2014
I2;Pois de printemps semé tardivemt (après 31/05) commercialisé;2010;2014
LA;Lavande;2010;2014
LB;Semences de lin fibres commercialisées;2010;2011
LF;Nvelles surf. légumin. fourrag. (luzerne;2010;2012
LG;Légumes de plein champ commercialisés;2010;2014
LH;Lentilles commercialisées;2010;2014
LJ;Lin non textile commercialisé;2010;2014
LK;Lupin doux commercialisé;2010;2014
LL;Lupin doux semé tardivement (après le 31/05) commercialisé;2010;2014
LM;Lin fibres sans contrat commercialisé;2010;2011
LO;Semences de lin oléagineux commercialisées;2010;2011
BDH;Blé dur d'hiver;2015;NA
PPR;Pois de printemps semé avant le 31/05;2015;NA
MEL;Autre mélilot;2015;NA
CSS;Culture sous serre hors sol;2016;NA
SNA;Surface non agricole non visible sur l'orthophoto;2015;2015
BOR;Bordure de champ;2015;NA
FF6;Féverole fourragère implantée pour la récolte 2016;2016;2018
GER;Géranium;2016;NA
JO6;Jarosse implantée pour la récolte 2016;2016;2018
LH6;Lupin fourrager d'hiver implanté pour la récolte 2016;2016;2018
LP6;Lupin fourrager de printemps implanté pour la récolte 2016;2016;2018
LU6;Luzerne implantée pour la récolte 2016;2016;2018
MC6;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales;2016;2018
ME6;Mélilot implanté pour la récolte 2016;2016;2018
MH6;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d'herbacées ou de graminées fourragères;2016;2017
ML6;Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles);2016;2018
PH6;Pois fourrager d'hiver implanté pour la récolte 2016;2016;2018
PP6;Pois fourrager de printemps implanté pour la récolte 2016;2016;2018
PSN;Psyllium noir de Provence;2016;NA
SA6;Sainfoin implanté pour la récolte 2016;2016;2018
SE6;Serradelle implantée pour la récolte 2016;2016;2018
TR6;Trèfle implanté pour la récolte 2016;2016;2018
VE6;Vesce implantée pour la récolte 2016;2016;2018
VGD;Verger (DOM);2016;NA
ACA;Autre culture non précisée dans la liste (admissible);2015;NA
AGR;Agrume;2015;NA
AIL;Ail;2015;NA
ANA;Ananas;2015;NA
ANE;Aneth;2015;NA
ANG;Angélique;2015;NA
ANI;Anis;2015;NA
ARA;Arachide;2015;NA
ART;Artichaut;2015;NA
AUB;Aubergine;2015;NA
AVH;Avoine d'hiver;2015;NA
AVO;Avocat;2015;NA
AVP;Avoine de printemps;2015;NA
BAR;Bardane;2015;NA
BAS;Basilic;2015;NA
BCA;Banane créole (fruit et légume) - autre;2015;NA
BCF;Banane créole (fruit et légume) - fermage;2015;NA
BCI;Banane créole (fruit et légume) - indivision;2015;NA
BCP;Banane créole (fruit et légume) - propriété ou faire valoir direct;2015;NA
BCR;Banane créole (fruit et légume) - réforme foncière;2015;NA
BDP;Blé dur de printemps;2015;NA
BDT;Blé dur de printemps semé tardivement (après le 31/05);2015;2017
BEA;Banane export - autre;2015;NA
BEF;Banane export - fermage;2015;NA
